Sample	S00017985	S00017986	S00017987	S00017988	S00017989	S00017990	S00017991	S00017992	S00017993	S00017994	S00017995	S00017996	S00017997	S00017998	S00017999	S00018000	S00018001	S00018002	S00018003	S00018004	S00018005	S00018006	S00018007	S00018008	S00018009	S00018010	S00018011	S00018012	S00018013	S00018014	S00018015	S00018016	S00018017	S00018018	S00018019	S00018020	S00018021	S00018022	S00018023	S00018024	S00018025	S00018026	S00018027	S00018028	S00018029	S00018030	S00018031	S00018032	S00018033	S00018034	S00018035	S00018036	S00018037	S00018038	S00018039	S00018040	S00018041	S00018042	S00018043	S00018044	S00018045	S00018046	S00018047	S00018048	S00018049	S00018050	S00018051	S00018052	S00018053	S00018054	S00018055	S00018056	S00018057	S00018058	S00018059	S00018060	S00018061	S00018062	S00018063	S00018064	S00018065	S00018066	S00018067	S00018068	S00018069	S00018070	S00018071	S00018072	S00018073	S00018074	S00018075	S00018076	S00018077	S00018078	S00018079	S00018080	S00018081	S00018082	S00018083	S00018084
PE 36:5; [M-H]-@6.09	5915.089487	12899.34889	6419.783225	4646.45625	5240.522297	1671.81884	4103.888795	7841.924372	3938.668478	3903.014619	13819.11559	9662.951051	14054.75525	23226.61298	8212.428408	12210.28251	5999.420607	3017.754428	7436.65134	8195.358688	6645.748936	7187.97492	7437.143188	5022.254	6623.097487	1545.093266	12359.49437	10844.89963	26528.80201	8285.365492	3146.333157	14863.64347	15980.37988	14762.13147	15506.76928	12018.96983	6590.256921	7936.563281	18391.16968	15784.82441	5035.052519	4337.333821	4550.270438	173.3525616	5695.738272	20280.84668	1144.210945	7162.439714	9463.418533	5176.526092	4044.121534	4035.203317	12179.00837	4761.653981	4756.586257	9820.387532	11455.70465	21448.19678	10127.6539	6278.185759	3470.082329	4654.132586	6326.822314	19397.96174	6834.639884	3410.357508	6708.480421	8981.916966	21776.88714	16534.49355	20527.41197	6448.476674	10838.9287	4150.778338	13955.55042	1761.317221	3288.990898	13066.89621	6069.20028	6611.312348	30452.09996	10820.93188	10856.6715	4394.035667	17078.07356	28351.78199	7476.4342	2252.796652	4684.830765	14389.15407	6757.360973	10999.60243	1393.198318	18456.45022	3497.877341	5021.143373	3914.33887	5257.969055	6385.899682	6962.749851
PE 37:4; [M-H]-@6.74	5552.137165	4641.170104	5947.76194	4295.310821	12335.25334	7688.834255	4807.039005	3151.525594	8374.240155	11466.71653	16702.19059	8654.160018	8683.243356	11129.01085	9529.015694	14294.78779	5731.052448	5470.17846	10434.73734	7761.083454	11939.29454	4633.225057	7580.018785	14377.33143	6613.673627	3393.997043	6823.898345	10461.99204	24991.0821	4790.606249	7104.453084	8594.158822	11468.20864	8193.237339	8188.062148	17662.81354	17087.38072	10734.17451	13128.83266	3416.063391	5152.235598	3394.368942	5710.879737	149.2758533	13804.6301	16021.33768	5774.729438	4521.432107	16863.07795	14715.27641	7150.809602	17616.47033	13852.90236	8074.505577	6913.075631	2930.734922	8727.467345	13333.21188	11614.68208	4516.516802	8678.958795	7754.297167	8182.00607	16966.62167	1778.676511	3603.883563	6054.600686	7205.36552	8824.169832	9138.31449	10680.13885	11575.75923	14025.07612	13916.77436	4306.258556	13425.033	5069.085999	8019.129203	12545.11292	6301.650508	4848.022832	13697.15434	4849.793715		20095.17895	10158.87514	21572.72085	18120.83391	5781.351089	9485.508328	4477.610522	20893.94038	6956.957683	12384.14183	6705.494177	8927.318052	10161.00976	5054.211881	6429.759113	6177.600017
PE 38:1; [M-H]-@7.97	7334.850101		4431.345368	1419.547108		4985.527592	3106.158572	1307.418039	1159.255637	2583.518412	5686.747589	3519.752526	15193.08888	1857.639913	11608.30048	10836.31349	5600.922863	18343.32637	3754.171999	5924.873179	4262.334701	17047.77315	5179.616082	101817.4904	1507.019341	21103.87593	6324.026442	63882.91596	3077.429813	87605.49008	47009.65978	9432.644931	5851.685314	4118.630946	17347.49511	4842.440317	6142.951801	15226.76226	5101.312906	72367.09792	65027.4132	29142.35445	111682.3052	157.6340547	5744.346166	6285.204269	5780.878814	74156.39652	8992.443172	64320.02236	29177.67874	147972.8525	7034.593229	119893.9296	9511.126367	21276.45876	54637.33132	82486.90636	3786.221446	2689.862066	5299.349621	3730.764832	4638.533463	4944.312917	135312.4849	2609.964423	2024.132629	6139.786707	8059.153291	3427.080146	10282.89316	7046.259977	21240.16402	3478.902177	8824.035799	51539.78469	6607.607931	897.5853035	100385.0166		3293.600998	28356.02553	3999.673979	4850.38151		9746.911977	5433.013068	96766.82763	4082.577943	5667.400377	8519.630571	5192.553888	45864.83058	9657.241595	3304.412963	1709.254602	105596.1927	43381.5885	985.330336	383.0636843
PE 38:2; [M-H]-@6.97	5193.154633	7223.107294	8517.216598	5860.839852	8474.178219	4244.897821	5995.385582	5611.497311	6213.062861	7463.456924	9528.897409	6363.59999	6887.587157	6706.3778	10300.07163	11912.91824	7413.052379	22856.25548	6800.994378	10796.07591	5604.664441	9644.644079	3714.444675	25215.76036	1227.146103	9028.202092	6148.763989	28843.80249	10006.57918	25618.43418	21708.38682	11318.66051	9533.101229	9426.89519	14801.79864	12644.72642	12016.54881	22939.45292	9001.480583	18320.06404		29873.32006	35024.34499	40.11647166	5765.98341	9539.665364	6748.77883	9373.932408	8330.048045	22691.83201	29951.16372	29181.519	13129.62532	51934.93057	25589.76017	23192.55972	14034.14368	31788.48945	7819.236202	6028.172845	7906.259323	5761.878174	8882.042305	11179.3749		6352.333543	7268.375802	12874.96066	9515.478693	10183.44997	10147.26084	7106.200482	9639.560177	5053.392543	19071.30244	44921.53494	9260.731489	2676.176946	32482.35561	7427.670979	9403.000342	24625.23117	8512.705007	8497.243494	19977.77112	6077.051945	4706.838745	30556.67103	7967.325176	10354.09476	12778.44063	10681.6596	18811.14648	12650.17586	8919.3307	11261.56975	67311.60464	39941.49881	8262.388276	11454.67994
PE 38:3; [M-H]-@7.30	8416.665515	32000.30915	17601.59571	10160.99642	19799.73685	8884.575364	17038.64524	28814.74425	34406.07741	15222.49939	67862.76985	43519.22741	25385.49163	20687.20502	50735.22201	39029.18021	20120.93587	17987.22854	22632.79972	25903.54994	31701.86194	30310.0055	37240.77388	40531.36502	21342.93539	25170.55648	51980.51949	60358.80746	69559.63347	32128.1555	18750.49627	72359.67818	43823.26027	18309.20711	45797.24664	50721.83668	33422.72695	25453.5026	78979.85078	38833.65699	13645.01823	24474.74572	22556.70723	22.3845459	24331.6442	33026.25744	12663.97574	17818.70053	42685.49024	44925.74276	28235.43937	26403.75254	28108.75564	20650.88583	37091.12913	24074.80794	20518.6048	54470.19075	25014.99	20761.49881	20074.67654	33911.97421	28641.86756	77379.27461	13255.8206	23869.24329	28728.26901	34982.37871	44187.3163	30441.3202	39732.60623	39948.79465	52961.7383	28695.04464	50477.27359	27815.78661	13346.14768	19281.50026	20313.53835	30401.23079	19176.51907	36179.08665	32935.26405	25411.10682	49901.84534	63035.83909	47763.80383	32723.42996	20207.20335	61785.96974	58937.18515	44415.28348	22463.26232	42189.26104	30443.50407	30551.4031	41977.67944	37363.31238	39093.46289	32799.07552
PE 38:3; [M-H]-@6.46	11193.82527	1577.47856	23038.76782	5852.292118	8703.392463	3568.979375	11821.5988	8589.147434	10508.29154	7494.177421	14853.81705	2948.224657	18696.48713	9659.895734	18242.01702	14994.0423	10776.36554	27899.15284	13341.89176	13019.46057	4009.77009	11513.31247	2159.362467	23995.77658	6603.513502	4216.959991	15257.1515		14411.97555	16070.14043	16727.82582	3357.437436	8545.380263	13397.27307	20188.4423	7261.169617	8696.252094	27694.38253	15627.09525	13710.90388	30637.78971	18376.10263	23550.87372	82.35305326	12672.48111	28945.27913	9225.235558	19984.67254	16679.1396	13352.15831	20039.61824	24441.06939	15659.81266	18412.7367	18156.27223	11948.66621	19853.3433	48426.33954	18162.72232	8429.331698	15372.74954	9541.911124	7983.102365	10284.74387	30732.03037	19198.37288	3213.703286	11345.49407	16207.3679	8217.248037	30252.37639	7172.813358	14013.7952	1648.495292	21836.46938	19245.74286	4933.769456	3619.472852	15785.53228	18830.68864	11042.69903	16139.17988	14295.69343	2469.446769	26510.85232	7664.812495	8694.106102	32576.50116	6156.218859	8858.141141	9071.195534	3495.849359	14433.78936	26411.60938		8420.36463	41251.14052	14797.4176	15525.35431	8990.297039
PE 38:4; [M-H]-@7.03	83102.85418	204111.7701	202763.9725	99550.04203	185213.3517	162542.292	228636.1222	241844.3451	272882.4151	174589.5387	490699.7744	323829.5717	218235.6355	255722.0513	265189.5126	262380.0457	185765.5047	85618.1161	156970.7891	189248.4054	269338.2539	149155.6788	291644.2188	236374.2725	143928.8389	44848.20937	258322.8056	158277.5165	507432.2845	99128.62661	164664.8854	460017.5155	286158.4987	183478.4767	293409.7077	421374.874	302472.7208	212697.6927	628831.6772	147443.104	103306.9179	140484.0671	70525.8106	151.284822	213034.0348	470885.0419	156583.363	111039.4541	308324.852	233017.148	154289.4059	102040.6535	305034.6941	73390.13963	216434.1751	252733.52	143501.9292	253953.6866	227088.1972	180571.5436	127052.3151	247194.3975	326094.6541	438137.2404	93499.41934	158587.887	232877.9605	281288.734	307346.8375	253064.7653	376648.1328	309689.3331	486339.3368	270213.7411	220292.6301	148334.5329	151992.7736	294667.1047	168418.0154	176165.0207	213230.1589	207499.6352	344880.8237	293042.7738	551544.537	376767.6687	391877.6737	143813.0352	199151.0526	437630.3827	406907.0625	268097.8309	80640.08711	365630.713	192125.5345	240140.2448	83784.88549	186573.1397	233039.2631	349303.9092
PE 38:4; [M-H]-@6.71	83102.85418	204111.7701	202763.9725	99550.04203	185213.3517	162542.292	228636.1222	241844.3451	272882.4151	174589.5387	490699.7744	323829.5717	218235.6355	255722.0513	265189.5126	262380.0457	185765.5047	85618.1161	156970.7891	189248.4054	269338.2539	149155.6788	291644.2188	236374.2725	143928.8389	44848.20937	258322.8056	158277.5165	507432.2845	99128.62661	164664.8854	460017.5155	286158.4987	183478.4767	293409.7077	421374.874	302472.7208	212697.6927	628831.6772	147443.104	103306.9179	140484.0671	70525.8106	151.284822	213034.0348	470885.0419	156583.363	111039.4541	308324.852	233017.148	154289.4059	102040.6535	305034.6941	73390.13963	216434.1751	252733.52	143501.9292	253953.6866	227088.1972	180571.5436	127052.3151	247194.3975	326094.6541	438137.2404	93499.41934	158587.887	232877.9605	281288.734	307346.8375	253064.7653	376648.1328	309689.3331	486339.3368	270213.7411	220292.6301	148334.5329	151992.7736	294667.1047	168418.0154	176165.0207	213230.1589	207499.6352	344880.8237	293042.7738	551544.537	376767.6687	391877.6737	143813.0352	199151.0526	437630.3827	406907.0625	268097.8309	80640.08711	365630.713	192125.5345	240140.2448	83784.88549	186573.1397	233039.2631	349303.9092
PE 38:5; [M-H]-@6.60	30085.44564	104309.2609	95699.48938	94616.69411	68255.0136	50684.74069	115835.1232	152856.433	145943.3571	54779.38548	217469.969	112174.4189	165741.9292	169343.3728	128858.2187	184121.9358	65392.81044	36851.77499	100167.7226	105377.1957	156367.3498	54267.56183	154205.8968	94842.69801	88962.97167	27908.19435	145954.0795	82892.58586	324262.4504	66142.81894	60676.32315	226416.1294	130582.9515	80619.14706	197252.7274	251561.3535	120077.6569	81410.71374	283704.4839	57890.85966	35530.09564	38460.32685	31961.22802	154.5533824	92904.09227	234838.7222	89545.9713	50163.0425	159322.4726	93540.44695	84758.461	42571.74528	128364.2382	34112.96535	120363.4919	122377.8247	63593.23358	154934.2359	92622.98189	97949.99393	55105.53845	108488.2155	148396.8086	326406.5975	54209.42459	65878.72205	99047.34181	174268.3699	196839.4946	140506.162	263060.3926	139484.8672	159589.3325	218716.6662	116348.8135	69930.86696	95757.93316	112339.7558	58631.99727	163842.3732	141736.5511	94874.89284	119705.0982	109036.0644	283199.7105	232562.2195	168747.1613	44941.85305	127735.9517	171263.1098	126263.9923	175715.881	45487.17056	158555.6101	73639.91658	77219.53681	33752.76193	61854.70374	107763.9967	111500.7573
PE 38:6; [M-H]-@6.23	88571.13348	245972.3397	147119.2849	113671.1097	65809.89105	83805.74432	243798.0779	285584.0452	269679.9692	129582.9474	277429.6625	178190.727	253229.7143	331294.5596	113776.7587	141847.875	112237.7498	46700.30138	166026.3149	227109.5663	264826.9807	103112.2436	318046.3181	109547.2181	184888.3358	42201.27247	226523.0491	145131.0749	373018.8741	123565.2144	58118.46191	144482.7079	179556.0243	66802.70063	135341.9598	248818.5324	145816.0059	119454.8857	293112.4428	45652.59002	62286.92828	77423.11756	71477.51529	286.4907114	99649.15482	191529.9084	105504.0713	89579.58881	311462.7726	79191.20774	97197.72647	53584.31517	207912.7552	41285.538	147404.0974	114173.0571	129688.8051	180963.6462	78941.06885	115596.3094	56677.57294	87226.70281	99307.76417	377301.645	54402.91591	140931.3866	74167.72887	155932.483	233923.6683	157210.4391	467147.5352	140458.5222	207837.0016	175144.1775	59608.85195	89861.72848	115876.2113	241925.6149	73426.68721	136717.762	254976.2891	135331.6361	127375.4004	242473.7687	229715.5951	98288.57518	123255.58	46992.83723	164672.5767	150159.5359	126711.5338	121979.4535	52513.17898	188919.5931	61182.48792	81416.14759	32891.20338	43993.71976	165726.0433	126744.7532
