metabolite_name	S00017985	S00017986	S00017987	S00017988	S00017989	S00017990	S00017991	S00017992	S00017993	S00017994	S00017995	S00017996	S00017997	S00017998	S00017999	S00018000	S00018001	S00018002	S00018003	S00018004	S00018005	S00018006	S00018007	S00018008	S00018009	S00018010	S00018011	S00018012	S00018013	S00018014	S00018015	S00018016	S00018017	S00018018	S00018019	S00018020	S00018021	S00018022	S00018023	S00018024	S00018025	S00018026	S00018027	S00018028	S00018029	S00018030	S00018031	S00018032	S00018033	S00018034	S00018035	S00018036	S00018037	S00018038	S00018039	S00018040	S00018041	S00018042	S00018043	S00018044	S00018045	S00018046	S00018047	S00018048	S00018049	S00018050	S00018051	S00018052	S00018053	S00018054	S00018055	S00018056	S00018057	S00018058	S00018059	S00018060	S00018061	S00018062	S00018063	S00018064	S00018065	S00018066	S00018067	S00018068	S00018069	S00018070	S00018071	S00018072	S00018073	S00018074	S00018075	S00018076	S00018077	S00018078	S00018079	S00018080	S00018081	S00018082	S00018083	S00018084
SM 43:4; [M]+@7.68	24930.59796	49677.07756	35221.37689	33129.46833	68609.55248	29972.47191	40923.73151	23778.46424	30106.76596	35360.29861	26517.35058	27099.79921	33708.42139	23342.40362	53756.22617	57708.32015	34631.60553	25950.67314	43918.57704	49060.90378	45561.95982	28051.85132	38387.15666	60497.70566	26820.15338	20544.77074	35005.49404	35968.31989	30586.25949	28327.42931	35514.32246	34497.65528	27390.43999	17819.54834	32923.36125	87449.26443	38098.18381	37060.84299	41422.7767	23314.23937	34901.14755	23014.69784	17197.87627	72009.57021	65412.31284	49968.13659	31436.50147	48824.18125	35115.12228	53138.96276	51702.94061	43240.11266	64027.18029	58225.91214	66894.22831	50982.36091	56196.94705	49913.79471	51108.8789	41151.95127	40985.14202	35046.40235	35811.16416	38207.28925	66013.07576	53130.60623	71284.78507	74056.61388	66556.17752	46491.10128	79478.8693	57182.35475	75093.03889	73356.57136	52842.70366	45776.10686	67594.68631	53568.12876	50991.1872	57797.78372	55788.67483	56646.75417	62198.23254	71208.4479	73842.96704	35894.88145	64894.51631	42167.80267	48571.4182	62893.40894	65580.38086	53060.24153	48987.70718	93898.96888	57261.97825	31775.54484	33626.42763	72837.03331	123313.5739	95636.45097
SM 44:1; [M]+@8.74	4134.401588	3670.550486	3510.17566	4658.526126	11122.82419	1833.412757	2272.253398	5441.036107	11068.51318	3234.324924	2968.534672	1725.142596	3855.539558	3517.635294	5616.185474	3833.090737	4971.333946	4734.722827	6326.599151	6222.911259	6527.503159	5016.369264	3841.655	10635.62792	2169.67289	1650.196274	3054.083965	6430.749252	4791.785898	2562.502713	3736.603932	3617.916196	4906.017322	1478.327446	5748.586349	8895.070564	5311.146143	4401.087612	4911.537251	5942.215765	1765.558319	2113.040366	3584.464066	4596.420365	7481.634631	6976.691572	5408.628775	3421.182616	3905.414884	4614.588154	12695.95971	6827.759495	13006.87242	7097.61845	10366.99343	8721.938099	8760.246102	16684.07983	6138.874286	2810.48991	4989.130154	7729.489135	4434.687733	8660.797068	5053.972483	2756.482965	10226.3756	8401.528822	18653.19891	8306.236073	25752.97245	11869.22156	11552.76706	14239.02282	10228.67936	13010.96629	9651.26343	7241.925567	8435.431057	9047.829721	11240.58965	11294.92723	12656.59901	11877.14915	11170.28523	10290.70487	10664.5558	7355.642242	8366.512293	9754.884263	7253.24372	7551.709112	8045.641409	11535.51705	13082.27405	4537.731872	4714.711263	11729.99427	21222.10465	10828.13106
SM 44:2; [M]+@8.35	4671.782624	8279.208684	7698.854671	7401.628323	11809.51291	6680.613624	6630.426806	12258.52326	10719.77773	8180.254271	7616.646069	4720.926844	8123.953473	7884.347192	19476.72799	9089.24336	6794.071477	9646.709713	10486.43451	12307.41691	11204.62617	11260.71705	8020.039602	17574.1326	6531.717551	1972.0897	11144.27969	8971.036964	6961.106524	5311.056944	6312.665978	9422.354262	7034.827063	5538.064321	12780.88618	26666.90965	6438.153474	11491.2829	7935.30061	5591.838313	6371.625721	5477.111586	6153.452245	23020.42599	11001.0162	10244.86157	6289.36501	6987.172393	13814.7927	6540.520044	27603.88969	21906.25407	29996.70907	13210.00063	14352.4971	13110.64381	21225.98665	21632.3003	15243.0687	6509.781608	8768.180632	9446.241399	9079.740056	16308.06796	17439.26825	14738.86881	16392.39002	16465.86744	35949.4722	16879.12695	52843.5178	21083.0566	34039.31232	23463.02543	14157.98228	14219.02794	18785.16375	23687.18554	15436.96305	16533.41474	30042.08036	21047.86652	22834.90379	32969.90176	13931.26088	20631.2403	14261.00977	13178.56195	9971.986425	12015.52655	15788.47799	16341.08254	16925.30697	18070.09238	21052.08541	12841.47674	14685.98367	15001.95205	28817.50982	27032.60357
TG 40:1; [M+NH4]+@9.23	19553.51901	21781.56682	44517.79087	17930.45737	20021.34766	73569.96116	14894.19009	9747.777992	17628.24934	15750.56269	143181.6606	7584.09868	16026.07761	13446.22365	22737.7567	9316.898798	12750.54431	17039.44163	17779.69885	14247.54163	61499.07717	31231.22774	13568.13772	30114.60861	10364.01388	11288.78898	46261.81968	26953.31333	67172.35545	22264.2309	41645.11919	90930.93085	17524.05321	25575.17825	189065.6626	63979.18713	9892.592042	24911.70992	110330.0623	17882.84997	28584.23226	37621.98991	24769.71779	14630.26726	15970.0605	19297.2009	13324.5386	24304.69898	49195.21065	22573.04712	34377.40123	37283.08498	24778.39455	31275.45028	61637.53396	35008.38802	35896.93973	69216.88939	34823.31692	27737.75699	42045.50612	40740.91112	32452.62387	69327.0904	37664.98778	35753.63162	13891.97424	30753.36548	36877.48473	27255.39508	34442.02707	23855.8741	60964.89778	7810.684704	54450.57002	35796.95237	5434.128858	20565.2986	48486.5063	31920.03694	19340.59332	24708.94694	17906.8019	17271.23348	31884.81557	116730.6417	24085.76765	29217.32987	32092.07972	43154.71931	16727.43171	42478.94497	42185.73741	43312.41387	17731.08586	50624.75219	54475.17916	30303.22825	15328.16828	16765.99691
TG 42:0; [M+NH4]+@9.83	14598.80379	35291.55637	29890.527	24831.55657	16065.47653	245905.0073	10467.44406	5300.791334	25038.06363	32353.80961	367608.0946	17970.10748	21023.0825	12484.4812	9993.638114	4235.614448	9737.666035	11976.63952	45023.6248	7642.529851	153688.2895	51853.0883	32773.2126	19876.63071	4400.818886	9855.772017	104352.6127	29376.49753	378189.6916	7313.483834	136387.1495	100261.993	17470.11007	5149.328538	389804.1791	73112.66246	9708.678434	20322.99949	443346.9612	9469.223599	8949.331383	30703.67497	32530.30361	5752.256507	26306.47446	41997.11915	6330.767058	13125.05392	157787.2224	4985.330437	16525.03437	21140.30461	14900.73446	14592.58961	108607.9272	12613.65578	33263.73056	123080.8265	17760.66793	15425.94869	36327.44952	19112.05356	10668.80627	116875.9582	35777.2807	81244.39547	12362.75421	15216.40137	52168.90626	31287.99909	29600.75006	8978.847003	230498.1296	9387.809004	164281.1051	18314.687	4866.616417	19893.32277	115320.5461	18056.17018	11569.36788	13295.13399	15763.76904	11462.21596	34868.60076	149047.4323	47123.84716	3333.134282	57899.557	112873.2411	8099.149224	126608.8542	48650.67137	87613.98694	7921.243098	99447.44099	11673.91894	38567.39279	9992.19899	4413.723072
TG 42:0; [M+Na]+@9.86	28130.04932	7843.185473	7855.860188	8760.691825	17912.25906	38945.18237	28269.46136	28501.62298	5865.854014	8397.423382	54169.58852	4730.51962	8702.65264	6082.938492	11944.86054	13295.1448	9170.698104	66009.60053	11362.92097	9666.927507	23755.77291	20228.69527	6697.053634	32746.2076	3658.922449	50376.58663	21513.35481	39760.45346	55473.42223	47181.13158	24822.92686	21254.18082	11743.72691	10287.41735	88729.27996	20251.60415	34845.72917	25240.49578	54956.79423	49967.20581	16761.74855	23112.60257	10231.14561	10132.99066	9383.502073	11021.26891	7147.448988	14124.80627	45888.44614	29546.36437	55058.41688	19890.25182	12131.77177	26118.23654	15979.98414	31813.42946	23545.56574	14248.74487	7421.814624	9761.512754	7496.929892	10471.75887	11597.79732	11034.00632	6301.272958	20030.38991	23280.55034	7194.714891	8929.232989	12243.49991	10454.9561	9916.578146	28883.51904	10652.51162	24872.05059	55635.19153	8732.173544	8496.162105	44842.43654	10601.30409	14686.88137	86140.8273	15470.13836	16805.52382	34614.51431	15720.54019	18542.87089	21368.2146	12637.91721	17586.68145	12954.06151	18923.77865	31646.74246	16556.44488	11432.93924	15700.9508	15461.44765	40157.26935	17113.96474	14416.32425
TG 42:1; [M+NH4]+@9.60	10069.57232	32007.14471	34087.78509	20696.52026	15269.78778	207230.2355	7542.214967	3075.912256	23904.07011	29230.71606	343780.9931	12548.15767	18291.47483	13830.25586	11522.77032	4583.467147	9451.482161	9738.444131	38437.14407	8341.389675	155826.9117	31598.42375	19192.14669	12069.74331	4258.566279	5162.08074	103155.2126	27171.42001	263802.4482	9025.470737	106415.6489	127466.103	21041.99355	6634.908738	354329.8575	105344.0958	9439.41306	7940.200959	473668.3548	8267.380966	14252.59415	20472.25842	29664.98107	9193.209736	26417.33326	27337.48686	4282.98963	13410.08326	102534.2309	7692.488369	19650.77676	13653.26753	20415.04843	12029.19554	112136.9152	9399.146261	25556.0988	100758.2481	17281.03798	9325.820607	36118.64072	16852.93307	11003.49915	98249.53208	34996.49849	68918.10486	19636.86503	22234.03935	40089.83275	37191.28877	29419.22839	14478.3553	124138.7014	13113.54744	167125.3786	9235.421927	3822.743185	16031.72611	76027.2822	15449.42049	7713.118398	12499.43403	10668.30372	9563.569421	25556.5249	165637.2338	31321.94206	6051.994358	48510.4683	101623.3976	6303.819108	89182.6328	38010.76995	73381.80625	9341.699663	72822.20155	11473.83445	46303.64608	6402.114069	5249.131709
TG 42:2; [M+NH4]+@9.31	6484.66738	11857.17914	16698.44494	9423.507823	14133.36094	93833.41106	8889.942746	3683.92636	10673.6894	13257.49769	121498.8975	8826.683614	7013.65584	2961.835022	12855.97196	3102.405449	6978.576127	11059.8815	12417.48019	5508.020401	60314.78694	12358.55455	12364.60639	10302.29826	3643.902696	5152.595948	35843.04833	14025.98905	56498.49181	8199.087159	48641.20026	78644.19773	15966.78248	4961.962402	93656.83948	52416.20979	6677.940046	9064.39906	126794.5752	8109.912914	5197.741594	13667.10371	7353.609236	5851.364326	9282.671071	14583.1214	9495.388284	9397.745669	27241.98131	8374.847657	18868.04253	16345.53059	18595.59143	16886.26154	91150.12378	13194.4214	16546.83319	38448.14308	9445.33852	11528.94374	29456.27745	11863.65519	12811.35738	38285.39205	14842.74724	30141.66824	11085.7472	22379.19368	15841.87636	16428.80696	19084.36857	10650.74608	31801.23539	6976.114982	45185.11402	14546.7133	2923.662884	13329.76506	29601.79086	11880.64454	5849.824115	13549.6467	7373.003238	10329.51646	13926.60412	63018.89391	19166.74522	11300.30693	24311.44662	42961.97899	10305.2336	29237.90562	19822.95793	28229.50619	6205.835916	49051.70744	11889.48678	30975.82753	5426.814463	4355.066979
TG 44:1; [M+NH4]+@9.85	22754.50823	127273.4826	99872.91549	51080.03227	43566.16467	239606.4125	25463.63821	13412.21977	75599.77522	73927.92118	766224.1012	61448.66859	62731.05929	52843.43033	27005.59839	9009.629369	25795.7473	13394.49875	142840.6461	19852.24019	397369.0763	73138.95121	68063.71856	62724.23748	13039.15633	17251.60482	282689.3587	62977.9556	433295.9106	17210.57902	326375.1218	297887.3246	56526.72873	11973.47575	836213.6995	285868.0104	35995.8002	42922.98867	941587.6639	35476.64884	15144.31151	93961.18239	122041.6668	8423.921231	87428.08988	75223.38169	7084.141422	15806.81888	302678.9637	17880.6287	66350.62621	43444.60149	70551.01981	26301.06788	286027.9751	32905.72368	112719.8928	413393.1915	85828.88432	33012.03289	93555.06294	37589.83484	19840.9704	294237.1147	105801.6887	192450.8518	32064.78055	36297.24659	146833.1614	99686.80547	79152.09957	45361.07748	313764.0182	30414.6212	459229.4365	54442.31756	11797.07938	57830.43643	274730.3549	57402.95687	18976.47517	29948.6977	26981.92346	23822.48264	73238.16391	494288.4103	118392.347	10434.30251	158923.2631	318006.983	19654.76369	207260.6791	103831.4288	181898.6845	23508.83794	197830.9708	29186.56962	111630.8282	23549.1717	10794.36518
TG 44:2; [M+NH4]+@9.66	19280.66911	71405.14801	68198.15869	27073.82394	39657.41553	138443.1131	12783.72126	8088.831065	57016.04576	46848.93216	388935.048	34359.35568	29587.81311	27751.47403	20735.40988	6278.802011	19103.80672	22373.17259	73296.95291	17735.84435	218668.8711	41411.48219	40755.22451	54918.17661	19607.99083	16946.44989	196792.6558	48474.45118	171766.0236	16226.76947	230717.137	214484.5292	57957.59618	18592.32649	291456.4878	155665.9208	20216.04276	17664.20417	593257.3262	24905.04501	23057.84455	43208.03402	47177.40467	8708.688002	45556.02903	41934.9849	10094.0695	18471.02511	112080.0903	22697.68548	43060.98677	40708.99048	49200.74629	23713.11402	325796.7484	36875.59398	47688.38965	195029.2237	53557.80156	20728.74712	88979.84574	25173.47774	24017.98424	193517.8604	70382.09023	92716.53719	27763.18688	38763.31946	70560.46193	67520.07702	57621.13924	44786.36378	168421.6198	21964.64859	204392.0477	30864.93654	6458.63436	50808.76436	136343.5885	33392.79806	15387.81268	26475.46438	23683.31771	17837.55653	37160.91264	221848.293	67608.75992	11521.28639	84359.10343	215001.236	17213.36397	97326.33197	50829.67784	86513.71903	18347.80959	153104.7866	36096.909	86987.39209	14695.72913	12764.01514
